TABLE=036 | AREA=Xã An Viễn | SECTION=non-agricultural | SEGMENTS=1
P=1304 | X=0111.170-0384.680 | Y=0177.170-0188.410 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1304 | X=0111.170-0374.620 | Y=0188.690-0199.930 | ra Đường bao khu công nghiệp Bàu Xéo đoạn từ Quốc lộ 1
P=1304 | X=0111.170-0383.010 | Y=0200.230-0211.470 | đến Ngã ba (thửa đất số 716, tờ BĐĐC số 11, xã An Viễn) có
P=1304 | X=0111.170-0304.780 | Y=0211.750-0222.990 | hiện trạng là đường nhựa, bê tông xi măng:
P=1304 | X=0091.940-0108.580 | Y=0219.630-0228.950 | 103
P=1304 | X=0406.220-0431.270 | Y=0219.630-0228.950 | 3.000
P=1304 | X=0453.770-0478.820 | Y=0219.630-0228.950 | 2.100
P=1304 | X=0497.230-0522.280 | Y=0219.630-0228.950 | 1.800
P=1304 | X=0111.170-0342.250 | Y=0229.270-0240.510 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1304 | X=0111.170-0352.280 | Y=0246.790-0258.030 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1304 | X=0111.170-0144.690 | Y=0258.310-0269.550 | ≤500m.
P=1304 | X=0111.170-0384.680 | Y=0276.070-0287.310 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1304 | X=0111.170-0374.620 | Y=0287.620-0298.860 | ra Đường bao khu công nghiệp Bàu Xéo đoạn từ Quốc lộ 1
P=1304 | X=0111.170-0383.010 | Y=0299.140-0310.380 | đến Ngã ba (thửa đất số 716, tờ BĐĐC số 11, xã An Viễn) có
P=1304 | X=0111.170-0304.780 | Y=0310.660-0321.900 | hiện trạng là đường nhựa, bê tông xi măng:
P=1304 | X=0091.940-0342.720 | Y=0327.180-0339.180 | 104 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1304 | X=0406.220-0431.270 | Y=0327.180-0336.500 | 1.800
P=1304 | X=0453.770-0478.820 | Y=0327.180-0336.500 | 1.300
P=1304 | X=0497.230-0522.280 | Y=0327.180-0336.500 | 1.100
P=1304 | X=0111.170-0364.480 | Y=0345.460-0356.700 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1304 | X=0111.170-0206.120 | Y=0356.980-0368.220 | >500m đến ≤1.000m.
P=1304 | X=0111.170-0334.340 | Y=0374.520-0385.760 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1304 | X=0111.170-0384.680 | Y=0392.280-0403.520 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1304 | X=0111.170-0374.620 | Y=0403.800-0415.040 | ra Đường bao khu công nghiệp Bàu Xéo đoạn từ Quốc lộ 1
P=1304 | X=0111.170-0383.010 | Y=0415.320-0426.560 | đến Ngã ba (thửa đất số 716, tờ BĐĐC số 11, xã An Viễn) có
P=1304 | X=0111.170-0304.780 | Y=0426.840-0438.080 | hiện trạng là đường nhựa, bê tông xi măng:
P=1304 | X=0091.940-0108.580 | Y=0434.720-0444.040 | 105
P=1304 | X=0406.220-0431.270 | Y=0434.720-0444.040 | 1.200
P=1304 | X=0461.930-0478.570 | Y=0434.720-0444.040 | 840
P=1304 | X=0505.390-0522.030 | Y=0434.720-0444.040 | 720
P=1304 | X=0111.170-0352.280 | Y=0444.360-0455.600 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1304 | X=0111.170-0153.310 | Y=0457.780-0467.100 | >1.000m.
P=1304 | X=0111.170-0334.810 | Y=0473.420-0484.660 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1304 | X=0219.430-0289.630 | Y=0491.180-0502.420 | Đường tỉnh 777
P=1304 | X=0300.360-0382.780 | Y=0491.180-0502.420 | Đường ấp 5 - ấp 6
P=1304 | X=0219.430-0281.700 | Y=0502.460-0513.700 | (đường Trảng
P=1304 | X=0300.360-0380.710 | Y=0502.460-0513.700 | (hết ranh thửa đất
P=1304 | X=0091.940-0170.050 | Y=0508.220-0519.460 | 106 Đường số 10
P=1304 | X=0406.220-0431.270 | Y=0510.100-0519.420 | 3.400
P=1304 | X=0453.770-0478.820 | Y=0510.100-0519.420 | 2.400
P=1304 | X=0497.230-0522.280 | Y=0510.100-0519.420 | 2.000
P=1304 | X=0300.360-0382.280 | Y=0513.980-0525.220 | số 2327, tờ BĐĐC
P=1304 | X=0219.430-0271.380 | Y=0515.860-0525.180 | Bom - Long
P=1304 | X=0219.430-0251.110 | Y=0527.380-0536.700 | Thành)
P=1304 | X=0300.360-0322.440 | Y=0527.380-0536.700 | số 4)
P=1304 | X=0219.430-0289.630 | Y=0543.290-0554.530 | Đường tỉnh 777
P=1304 | X=0300.360-0382.780 | Y=0543.290-0554.530 | Đường ấp 5 - ấp 6
P=1304 | X=0219.430-0281.700 | Y=0554.810-0566.050 | (đường Trảng
P=1304 | X=0300.360-0380.710 | Y=0554.810-0566.050 | (hết ranh thửa đất
P=1304 | X=0091.940-0164.530 | Y=0560.570-0571.810 | 107 Đường số 8
P=1304 | X=0406.220-0431.270 | Y=0562.450-0571.770 | 3.400
P=1304 | X=0453.770-0478.820 | Y=0562.450-0571.770 | 2.400
P=1304 | X=0497.230-0522.280 | Y=0562.450-0571.770 | 2.000
P=1304 | X=0300.360-0382.280 | Y=0566.330-0577.570 | số 4654, tờ BĐĐC
P=1304 | X=0219.430-0271.380 | Y=0568.210-0577.530 | Bom - Long
P=1304 | X=0219.430-0251.110 | Y=0579.730-0589.050 | Thành)
P=1304 | X=0300.360-0322.440 | Y=0579.730-0589.050 | số 3)
P=1304 | X=0219.430-0289.630 | Y=0595.610-0606.850 | Đường tỉnh 777
P=1304 | X=0300.360-0377.740 | Y=0601.370-0612.610 | Ranh thửa đất số
P=1304 | X=0219.430-0281.700 | Y=0607.130-0618.370 | (đường Trảng
P=1304 | X=0091.940-0205.830 | Y=0612.890-0624.130 | 108 Đường từ ấp 3 - ấp 6
P=1304 | X=0300.360-0382.070 | Y=0612.890-0624.130 | 6596, tờ BĐĐC số
P=1304 | X=0406.220-0431.270 | Y=0614.770-0624.090 | 3.400
P=1304 | X=0453.770-0478.820 | Y=0614.770-0624.090 | 2.400
P=1304 | X=0497.230-0522.280 | Y=0614.770-0624.090 | 2.000
P=1304 | X=0219.430-0271.380 | Y=0620.550-0629.870 | Bom - Long
P=1304 | X=0300.360-0305.960 | Y=0626.310-0635.630 | 3
P=1304 | X=0219.430-0251.110 | Y=0632.070-0641.390 | Thành)
P=1304 | X=0300.360-0382.780 | Y=0647.950-0659.190 | Đường ấp 5 - ấp 6
P=1304 | X=0219.430-0296.840 | Y=0653.710-0664.950 | Ranh thửa đất số
P=1304 | X=0300.360-0380.710 | Y=0659.470-0670.710 | (hết ranh thửa đất
P=1304 | X=0091.940-0205.830 | Y=0665.230-0676.470 | 109 Đường từ ấp 3 - ấp 6
P=1304 | X=0219.430-0287.940 | Y=0665.230-0676.470 | 6596, tờ BĐĐC
P=1304 | X=0406.220-0431.270 | Y=0667.110-0676.430 | 3.000
P=1304 | X=0453.770-0478.820 | Y=0667.110-0676.430 | 2.100
P=1304 | X=0497.230-0522.280 | Y=0667.110-0676.430 | 1.800
P=1304 | X=0300.360-0382.280 | Y=0670.750-0681.990 | số 6747, tờ BĐĐC
P=1304 | X=0219.430-0238.260 | Y=0678.390-0687.710 | số 3
P=1304 | X=0300.360-0322.440 | Y=0684.150-0693.470 | số 3)
P=1304 | X=0091.940-0289.630 | Y=0700.050-0711.290 | 110 Đường Cổng chào ấp 4 Đường tỉnh 777
P=1304 | X=0300.360-0385.100 | Y=0700.050-0711.290 | Đường liên ấp 2-3-
P=1304 | X=0406.220-0431.270 | Y=0701.940-0711.260 | 3.400
P=1304 | X=0453.770-0478.820 | Y=0701.940-0711.260 | 2.400
P=1304 | X=0497.230-0522.280 | Y=0701.940-0711.260 | 2.000
P=1305 | X=0219.430-0281.700 | Y=0072.500-0083.740 | (đường Trảng
P=1305 | X=0300.360-0372.470 | Y=0074.380-0083.700 | 4 (hết ranh thửa
P=1305 | X=0300.360-0367.710 | Y=0084.020-0095.260 | đất số 4901, tờ
P=1305 | X=0219.430-0271.380 | Y=0085.900-0095.220 | Bom - Long
P=1305 | X=0300.360-0353.640 | Y=0095.540-0106.780 | BĐĐC số 5)
P=1305 | X=0219.430-0251.110 | Y=0097.420-0106.740 | Thành)
P=1305 | X=0219.430-0298.500 | Y=0113.300-0124.540 | Thửa đất số 2416
P=1305 | X=0300.360-0382.780 | Y=0119.090-0130.330 | Giáp ranh phường
P=1305 | X=0091.940-0200.320 | Y=0124.850-0136.090 | 111 Đường Mai Chí Thọ
P=1305 | X=0219.430-0295.170 | Y=0124.850-0136.090 | và 421 tờ bản đồ
P=1305 | X=0406.220-0431.270 | Y=0126.730-0136.050 | 3.400
P=1305 | X=0453.770-0478.820 | Y=0126.730-0136.050 | 2.400
P=1305 | X=0497.230-0522.280 | Y=0126.730-0136.050 | 2.000
P=1305 | X=0300.360-0353.880 | Y=0130.610-0141.850 | Tam Phước
P=1305 | X=0219.430-0238.260 | Y=0138.250-0147.570 | số 5
P=1305 | X=0219.430-0289.630 | Y=0154.130-0165.370 | Đường tỉnh 777
P=1305 | X=0219.430-0281.700 | Y=0165.410-0176.650 | (đường Trảng
P=1305 | X=0111.170-0204.150 | Y=0171.170-0182.410 | Đường nối từ đường
P=1305 | X=0300.360-0379.420 | Y=0176.930-0188.170 | Thửa đất số 4318
P=1305 | X=0219.430-0271.380 | Y=0178.810-0188.130 | Bom - Long
P=1305 | X=0091.940-0217.590 | Y=0182.690-0193.930 | 112 tỉnh 777 đến đường liên
P=1305 | X=0406.220-0431.270 | Y=0184.570-0193.890 | 3.400
P=1305 | X=0453.770-0478.820 | Y=0184.570-0193.890 | 2.400
P=1305 | X=0497.230-0522.280 | Y=0184.570-0193.890 | 2.000
P=1305 | X=0219.430-0362.620 | Y=0188.450-0199.690 | Thành), thửa đất tờ BĐĐC số 5
P=1305 | X=0111.170-0148.460 | Y=0194.210-0205.450 | ấp 2-3-4
P=1305 | X=0219.430-0297.810 | Y=0199.990-0211.230 | số 3, tờ BĐĐC số
P=1305 | X=0219.430-0225.030 | Y=0213.390-0222.710 | 6
