TABLE=031 | AREA=Xã Xuân Quế | SECTION=non-agricultural | SEGMENTS=1
P=1132 | X=0461.690-0478.330 | Y=0679.590-0688.910 | 410
P=1132 | X=0505.390-0522.030 | Y=0679.590-0688.910 | 350
P=1132 | X=0111.170-0380.370 | Y=0683.470-0694.710 | Suối Sâu đến Đường Sông Nhạn - Dầu Giây có hiện trạng là
P=1132 | X=0111.170-0246.940 | Y=0694.750-0705.990 | đường nhựa, bê tông xi măng:
P=1133 | X=0111.170-0342.720 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1133 | X=0111.170-0364.480 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ
P=1133 | X=0111.170-0206.120 | Y=0107.540-0118.780 | >500m đến ≤1.000m.
P=1133 | X=0111.170-0334.340 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1133 | X=0111.170-0384.680 | Y=0142.850-0154.090 | Các tuyến đường giao thông không đấu nối trực tiếp và thông
P=1133 | X=0111.170-0384.140 | Y=0154.370-0165.610 | ra Đường Nhân Nghĩa - Sông Nhạn đoạn từ Đường Cầu Đỏ -
P=1133 | X=0111.170-0380.370 | Y=0165.650-0176.890 | Suối Sâu đến Đường Sông Nhạn - Dầu Giây có hiện trạng là
P=1133 | X=0111.170-0246.940 | Y=0177.170-0188.410 | đường nhựa, bê tông xi măng:
P=1133 | X=0091.940-0108.580 | Y=0185.050-0194.370 | 105
P=1133 | X=0413.900-0430.540 | Y=0185.050-0194.370 | 420
P=1133 | X=0461.690-0478.330 | Y=0185.050-0194.370 | 290
P=1133 | X=0505.390-0522.030 | Y=0185.050-0194.370 | 250
P=1133 | X=0111.170-0352.280 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông
P=1133 | X=0111.170-0153.310 | Y=0208.110-0217.430 | >1.000m.
P=1133 | X=0111.170-0334.810 | Y=0223.750-0234.990 | - Có bề rộng <3m, cách đường giao thông >200m.
