TABLE=015 | AREA=Xã Phước Thái | SECTION=non-agricultural | SEGMENTS=1
P=0481 | X=0116.690-0300.360 | Y=0108.260-0119.500 | Các tuyến đường giao thông đấu nối trực
P=0481 | X=0116.690-0299.220 | Y=0119.810-0131.050 | tiếp ra Đường vào UBND xã Tân Hiệp cũ
P=0481 | X=0116.690-0316.970 | Y=0131.330-0142.570 | đoạn từ Cầu Suối 1 đến Hết ranh giới xã Tân
P=0481 | X=0116.690-0297.550 | Y=0142.850-0154.090 | Hiệp cũ có hiện trạng là đường nhựa, bê
P=0481 | X=0116.690-0176.850 | Y=0154.370-0165.610 | tông xi măng:
P=0481 | X=0097.490-0303.540 | Y=0171.650-0185.970 | 24 - Có bề rộng ≥5m, cách đường giao thông
P=0481 | X=0357.260-0382.310 | Y=0176.650-0185.970 | 2.300
P=0481 | X=0433.610-0458.660 | Y=0176.650-0185.970 | 1.600
P=0481 | X=0497.230-0522.280 | Y=0176.650-0185.970 | 1.400
P=0481 | X=0116.690-0158.830 | Y=0185.050-0194.370 | >1.000m.
P=0481 | X=0116.690-0308.370 | Y=0200.710-0211.950 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0481 | X=0116.690-0273.340 | Y=0212.230-0223.470 | giao thông từ >500m đến ≤1.000m.
P=0481 | X=0116.690-0303.790 | Y=0229.750-0240.990 | - Có bề rộng <3m, cách đường giao thông
P=0481 | X=0116.690-0150.210 | Y=0241.270-0252.510 | ≤200m.
P=0481 | X=0116.690-0300.360 | Y=0259.270-0270.510 | Các tuyến đường giao thông đấu nối trực
P=0481 | X=0116.690-0299.220 | Y=0270.790-0282.030 | tiếp ra Đường vào UBND xã Tân Hiệp cũ
P=0481 | X=0116.690-0317.010 | Y=0282.340-0293.580 | đoạn từ Cầu Suối 1 đến Hết ranh giới xã Tân
P=0481 | X=0116.690-0297.550 | Y=0293.860-0305.100 | Hiệp cũ có hiện trạng là đường nhựa, bê
P=0481 | X=0116.690-0176.850 | Y=0305.380-0316.620 | tông xi măng:
P=0481 | X=0097.490-0108.610 | Y=0313.260-0322.580 | 25
P=0481 | X=0357.260-0382.310 | Y=0313.260-0322.580 | 1.700
P=0481 | X=0433.610-0458.660 | Y=0313.260-0322.580 | 1.200
P=0481 | X=0497.230-0522.280 | Y=0313.260-0322.580 | 1.000
P=0481 | X=0116.690-0308.370 | Y=0322.900-0334.140 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0481 | X=0116.690-0208.270 | Y=0336.300-0345.620 | giao thông >1.000m.
P=0481 | X=0116.690-0303.790 | Y=0351.700-0362.940 | - Có bề rộng <3m, cách đường giao thông
P=0481 | X=0116.690-0150.450 | Y=0365.100-0374.420 | >200m.
P=0481 | X=0116.690-0309.560 | Y=0381.240-0392.480 | Các tuyến đường giao thông không đấu nối
P=0481 | X=0116.690-0304.250 | Y=0392.760-0404.000 | trực tiếp và thông ra Đường vào UBND xã
P=0481 | X=0116.690-0298.130 | Y=0404.280-0415.520 | Tân Hiệp cũ đoạn từ Cầu Suối 1 đến Hết
P=0481 | X=0116.690-0297.540 | Y=0415.800-0427.040 | ranh giới xã Tân Hiệp cũ có hiện trạng là
P=0481 | X=0116.690-0252.460 | Y=0427.320-0438.560 | đường nhựa, bê tông xi măng:
P=0481 | X=0097.490-0108.610 | Y=0435.200-0444.520 | 26
P=0481 | X=0357.260-0382.310 | Y=0435.200-0444.520 | 2.600
P=0481 | X=0433.610-0458.660 | Y=0435.200-0444.520 | 1.800
P=0481 | X=0497.230-0522.280 | Y=0435.200-0444.520 | 1.600
P=0481 | X=0116.690-0303.540 | Y=0444.840-0456.080 | - Có bề rộng ≥5m, cách đường giao thông
P=0481 | X=0116.690-0158.370 | Y=0456.380-0467.620 | ≤1.000m.
P=0481 | X=0116.690-0308.370 | Y=0473.900-0485.140 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0481 | X=0116.690-0199.630 | Y=0485.420-0496.660 | giao thông ≤500m.
P=0481 | X=0116.690-0309.560 | Y=0503.420-0514.660 | Các tuyến đường giao thông không đấu nối
P=0481 | X=0116.690-0304.250 | Y=0514.940-0526.180 | trực tiếp và thông ra Đường vào UBND xã
P=0481 | X=0116.690-0298.130 | Y=0526.220-0537.460 | Tân Hiệp cũ đoạn từ Cầu Suối 1 đến Hết
P=0481 | X=0116.690-0297.540 | Y=0537.770-0549.010 | ranh giới xã Tân Hiệp cũ có hiện trạng là
P=0481 | X=0116.690-0252.460 | Y=0549.290-0560.530 | đường nhựa, bê tông xi măng:
P=0481 | X=0097.490-0303.540 | Y=0566.810-0581.130 | 27 - Có bề rộng ≥5m, cách đường giao thông
P=0481 | X=0357.260-0382.310 | Y=0571.810-0581.130 | 2.100
P=0481 | X=0433.610-0458.660 | Y=0571.810-0581.130 | 1.500
P=0481 | X=0497.230-0522.280 | Y=0571.810-0581.130 | 1.300
P=0481 | X=0116.690-0158.830 | Y=0580.210-0589.530 | >1.000m.
P=0481 | X=0116.690-0308.370 | Y=0595.850-0607.090 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0481 | X=0116.690-0273.340 | Y=0607.370-0618.610 | giao thông từ >500m đến ≤1.000m.
P=0481 | X=0116.690-0303.790 | Y=0624.910-0636.150 | - Có bề rộng <3m, cách đường giao thông
P=0481 | X=0116.690-0150.210 | Y=0636.430-0647.670 | ≤200m.
P=0481 | X=0116.690-0309.560 | Y=0654.430-0665.670 | Các tuyến đường giao thông không đấu nối
P=0481 | X=0116.690-0304.250 | Y=0665.950-0677.190 | trực tiếp và thông ra Đường vào UBND xã
P=0481 | X=0097.490-0298.130 | Y=0677.470-0688.710 | 28 Tân Hiệp cũ đoạn từ Cầu Suối 1 đến Hết
P=0481 | X=0357.260-0382.310 | Y=0679.350-0688.670 | 1.500
P=0481 | X=0433.610-0458.660 | Y=0679.350-0688.670 | 1.100
P=0481 | X=0505.630-0522.270 | Y=0679.350-0688.670 | 900
P=0481 | X=0116.690-0297.540 | Y=0688.750-0699.990 | ranh giới xã Tân Hiệp cũ có hiện trạng là
P=0481 | X=0116.690-0252.460 | Y=0700.290-0711.530 | đường nhựa, bê tông xi măng:
P=0482 | X=0116.690-0308.370 | Y=0078.740-0089.980 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0482 | X=0116.690-0208.270 | Y=0092.140-0101.460 | giao thông >1.000m.
P=0482 | X=0116.690-0303.790 | Y=0107.780-0119.020 | - Có bề rộng <3m, cách đường giao thông
P=0482 | X=0116.690-0150.450 | Y=0121.210-0130.530 | >200m.
P=0482 | X=0253.060-0309.320 | Y=0139.210-0148.530 | Hết khu làng
P=0482 | X=0253.060-0317.210 | Y=0148.850-0160.090 | dân tộc Chơro
P=0482 | X=0253.060-0311.560 | Y=0162.250-0171.570 | (bên phải hết
P=0482 | X=0253.060-0313.250 | Y=0171.650-0182.890 | ranh thửa đất
P=0482 | X=0253.060-0292.550 | Y=0185.050-0194.370 | số 26, tờ
P=0482 | X=0116.690-0167.420 | Y=0188.930-0200.170 | Đường vào
P=0482 | X=0253.060-0316.850 | Y=0194.690-0205.930 | BĐĐC số 190;
P=0482 | X=0097.490-0158.530 | Y=0202.350-0211.670 | 29 UBND xã
P=0482 | X=0186.070-0234.630 | Y=0202.350-0211.670 | Quốc lộ 51
P=0482 | X=0357.260-0382.310 | Y=0202.350-0211.670 | 7.100
P=0482 | X=0433.610-0458.660 | Y=0202.350-0211.670 | 5.000
P=0482 | X=0497.230-0522.280 | Y=0202.350-0211.670 | 4.300
P=0482 | X=0253.060-0303.160 | Y=0208.110-0217.430 | bên trái hết
P=0482 | X=0116.690-0184.200 | Y=0211.990-0223.230 | Phước Bình cũ
P=0482 | X=0253.060-0313.250 | Y=0217.750-0228.990 | ranh thửa đất
P=0482 | X=0253.060-0287.030 | Y=0231.150-0240.470 | số 4, tờ
P=0482 | X=0253.060-0316.850 | Y=0240.790-0252.030 | BĐĐC số 190,
P=0482 | X=0253.060-0297.240 | Y=0252.310-0263.550 | xã Phước
P=0482 | X=0253.060-0276.080 | Y=0265.710-0275.030 | Thái)
P=0482 | X=0116.690-0300.360 | Y=0281.860-0293.100 | Các tuyến đường giao thông đấu nối trực
P=0482 | X=0116.690-0312.410 | Y=0293.380-0304.620 | tiếp ra Đường vào UBND xã Phước Bình cũ
P=0482 | X=0116.690-0316.680 | Y=0304.900-0316.140 | đoạn từ Quốc lộ 51 đến Hết khu làng dân tộc
P=0482 | X=0116.690-0311.290 | Y=0316.420-0327.660 | Chơro (bên phải hết ranh thửa đất số 26, tờ
P=0482 | X=0116.690-0309.800 | Y=0327.700-0338.940 | BĐĐC số 190; bên trái hết ranh thửa đất số
P=0482 | X=0116.690-0311.240 | Y=0339.220-0350.460 | 4, tờ BĐĐC số 190, xã Phước Thái) có hiện
P=0482 | X=0097.490-0108.610 | Y=0347.100-0356.420 | 30
P=0482 | X=0357.260-0382.310 | Y=0347.100-0356.420 | 3.600
P=0482 | X=0433.610-0458.660 | Y=0347.100-0356.420 | 2.500
P=0482 | X=0497.230-0522.280 | Y=0347.100-0356.420 | 2.200
P=0482 | X=0116.690-0288.470 | Y=0350.740-0361.980 | trạng là đường nhựa, bê tông xi măng:
P=0482 | X=0116.690-0303.540 | Y=0368.280-0379.520 | - Có bề rộng ≥5m, cách đường giao thông
P=0482 | X=0116.690-0158.370 | Y=0379.800-0391.040 | ≤1.000m.
P=0482 | X=0116.690-0308.370 | Y=0397.320-0408.560 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0482 | X=0116.690-0199.630 | Y=0408.840-0420.080 | giao thông ≤500m.
P=0482 | X=0116.690-0300.360 | Y=0426.840-0438.080 | Các tuyến đường giao thông đấu nối trực
P=0482 | X=0116.690-0312.410 | Y=0438.360-0449.600 | tiếp ra Đường vào UBND xã Phước Bình cũ
P=0482 | X=0116.690-0316.680 | Y=0449.900-0461.140 | đoạn từ Quốc lộ 51 đến Hết khu làng dân tộc
P=0482 | X=0116.690-0311.290 | Y=0461.420-0472.660 | Chơro (bên phải hết ranh thửa đất số 26, tờ
P=0482 | X=0116.690-0309.800 | Y=0472.940-0484.180 | BĐĐC số 190; bên trái hết ranh thửa đất số
P=0482 | X=0116.690-0311.240 | Y=0484.220-0495.460 | 4, tờ BĐĐC số 190, xã Phước Thái) có hiện
P=0482 | X=0116.690-0288.470 | Y=0495.740-0506.980 | trạng là đường nhựa, bê tông xi măng:
P=0482 | X=0097.490-0108.610 | Y=0506.740-0516.060 | 31
P=0482 | X=0357.260-0382.310 | Y=0506.740-0516.060 | 2.700
P=0482 | X=0433.610-0458.660 | Y=0506.740-0516.060 | 1.900
P=0482 | X=0497.230-0522.280 | Y=0506.740-0516.060 | 1.600
P=0482 | X=0116.690-0303.540 | Y=0513.260-0524.500 | - Có bề rộng ≥5m, cách đường giao thông
P=0482 | X=0116.690-0158.830 | Y=0526.660-0535.980 | >1.000m.
P=0482 | X=0116.690-0308.370 | Y=0542.330-0553.570 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0482 | X=0116.690-0273.340 | Y=0553.850-0565.090 | giao thông từ >500m đến ≤1.000m.
P=0482 | X=0116.690-0303.790 | Y=0571.370-0582.610 | - Có bề rộng <3m, cách đường giao thông
P=0482 | X=0116.690-0150.210 | Y=0582.890-0594.130 | ≤200m.
P=0482 | X=0116.690-0300.360 | Y=0600.890-0612.130 | Các tuyến đường giao thông đấu nối trực
P=0482 | X=0116.690-0312.410 | Y=0612.410-0623.650 | tiếp ra Đường vào UBND xã Phước Bình cũ
P=0482 | X=0116.690-0316.680 | Y=0623.950-0635.190 | đoạn từ Quốc lộ 51 đến Hết khu làng dân tộc
P=0482 | X=0116.690-0311.290 | Y=0635.470-0646.710 | Chơro (bên phải hết ranh thửa đất số 26, tờ
P=0482 | X=0097.490-0309.800 | Y=0646.750-0661.070 | 32 BĐĐC số 190; bên trái hết ranh thửa đất số
P=0482 | X=0357.260-0382.310 | Y=0651.750-0661.070 | 2.100
P=0482 | X=0433.610-0458.660 | Y=0651.750-0661.070 | 1.500
P=0482 | X=0497.230-0522.280 | Y=0651.750-0661.070 | 1.300
P=0482 | X=0116.690-0311.240 | Y=0658.270-0669.510 | 4, tờ BĐĐC số 190, xã Phước Thái) có hiện
P=0482 | X=0116.690-0288.470 | Y=0669.790-0681.030 | trạng là đường nhựa, bê tông xi măng:
P=0482 | X=0116.690-0308.370 | Y=0687.310-0698.550 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0482 | X=0116.690-0208.270 | Y=0700.710-0710.030 | giao thông >1.000m.
P=0483 | X=0116.690-0303.790 | Y=0078.740-0089.980 | - Có bề rộng <3m, cách đường giao thông
P=0483 | X=0116.690-0150.450 | Y=0092.140-0101.460 | >200m.
P=0483 | X=0116.690-0309.560 | Y=0108.260-0119.500 | Các tuyến đường giao thông không đấu nối
P=0483 | X=0116.690-0304.250 | Y=0119.810-0131.050 | trực tiếp và thông ra Đường vào UBND xã
P=0483 | X=0116.690-0310.370 | Y=0131.330-0142.570 | Phước Bình cũ đoạn từ Quốc lộ 51 đến Hết
P=0483 | X=0116.690-0305.220 | Y=0142.850-0154.090 | khu làng dân tộc Chơro (bên phải hết ranh
P=0483 | X=0116.690-0315.880 | Y=0154.370-0165.610 | thửa đất số 26, tờ BĐĐC số 190; bên trái hết
P=0483 | X=0116.690-0293.710 | Y=0165.650-0176.890 | ranh thửa đất số 4, tờ BĐĐC số 190, xã
P=0483 | X=0097.490-0305.810 | Y=0177.170-0188.610 | 33 Phước Thái) có hiện trạng là đường nhựa,
P=0483 | X=0357.260-0382.310 | Y=0179.290-0188.610 | 3.200
P=0483 | X=0433.610-0458.660 | Y=0179.290-0188.610 | 2.200
P=0483 | X=0497.230-0522.280 | Y=0179.290-0188.610 | 1.900
P=0483 | X=0116.690-0190.770 | Y=0188.690-0199.930 | bê tông xi măng:
P=0483 | X=0116.690-0303.540 | Y=0206.230-0217.470 | - Có bề rộng ≥5m, cách đường giao thông
P=0483 | X=0116.690-0158.370 | Y=0217.750-0228.990 | ≤1.000m.
P=0483 | X=0116.690-0308.370 | Y=0235.270-0246.510 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0483 | X=0116.690-0199.630 | Y=0246.790-0258.030 | giao thông ≤500m.
P=0483 | X=0116.690-0309.560 | Y=0264.790-0276.030 | Các tuyến đường giao thông không đấu nối
P=0483 | X=0116.690-0304.250 | Y=0276.310-0287.550 | trực tiếp và thông ra Đường vào UBND xã
P=0483 | X=0116.690-0310.370 | Y=0287.860-0299.100 | Phước Bình cũ đoạn từ Quốc lộ 51 đến Hết
P=0483 | X=0116.690-0305.220 | Y=0299.380-0310.620 | khu làng dân tộc Chơro (bên phải hết ranh
P=0483 | X=0116.690-0315.880 | Y=0310.900-0322.140 | thửa đất số 26, tờ BĐĐC số 190; bên trái hết
P=0483 | X=0116.690-0293.710 | Y=0322.420-0333.660 | ranh thửa đất số 4, tờ BĐĐC số 190, xã
P=0483 | X=0116.690-0305.810 | Y=0333.700-0344.940 | Phước Thái) có hiện trạng là đường nhựa,
P=0483 | X=0097.490-0190.770 | Y=0345.220-0359.780 | 34 bê tông xi măng:
P=0483 | X=0357.260-0382.310 | Y=0350.460-0359.780 | 2.400
P=0483 | X=0433.610-0458.660 | Y=0350.460-0359.780 | 1.700
P=0483 | X=0497.230-0522.280 | Y=0350.460-0359.780 | 1.400
P=0483 | X=0116.690-0303.540 | Y=0362.740-0373.980 | - Có bề rộng ≥5m, cách đường giao thông
P=0483 | X=0116.690-0158.830 | Y=0376.160-0385.480 | >1.000m.
P=0483 | X=0116.690-0308.370 | Y=0391.800-0403.040 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0483 | X=0116.690-0273.340 | Y=0403.320-0414.560 | giao thông từ >500m đến ≤1.000m.
P=0483 | X=0116.690-0303.790 | Y=0420.840-0432.080 | - Có bề rộng <3m, cách đường giao thông
P=0483 | X=0116.690-0150.210 | Y=0432.360-0443.600 | ≤200m.
P=0483 | X=0116.690-0309.560 | Y=0450.380-0461.620 | Các tuyến đường giao thông không đấu nối
P=0483 | X=0116.690-0304.250 | Y=0461.900-0473.140 | trực tiếp và thông ra Đường vào UBND xã
P=0483 | X=0116.690-0310.370 | Y=0473.420-0484.660 | Phước Bình cũ đoạn từ Quốc lộ 51 đến Hết
P=0483 | X=0116.690-0305.220 | Y=0484.940-0496.180 | khu làng dân tộc Chơro (bên phải hết ranh
P=0483 | X=0116.690-0315.880 | Y=0496.220-0507.460 | thửa đất số 26, tờ BĐĐC số 190; bên trái hết
P=0483 | X=0116.690-0293.710 | Y=0507.740-0518.980 | ranh thửa đất số 4, tờ BĐĐC số 190, xã
P=0483 | X=0097.490-0305.810 | Y=0519.260-0530.700 | 35 Phước Thái) có hiện trạng là đường nhựa,
P=0483 | X=0357.260-0382.310 | Y=0521.380-0530.700 | 1.900
P=0483 | X=0433.610-0458.660 | Y=0521.380-0530.700 | 1.300
P=0483 | X=0497.230-0522.280 | Y=0521.380-0530.700 | 1.100
P=0483 | X=0116.690-0190.770 | Y=0530.780-0542.020 | bê tông xi măng:
P=0483 | X=0116.690-0308.370 | Y=0548.330-0559.570 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0483 | X=0116.690-0208.270 | Y=0561.730-0571.050 | giao thông >1.000m.
P=0483 | X=0116.690-0303.790 | Y=0577.370-0588.610 | - Có bề rộng <3m, cách đường giao thông
P=0483 | X=0116.690-0150.450 | Y=0590.770-0600.090 | >200m.
P=0483 | X=0186.070-0242.300 | Y=0608.770-0618.090 | Hết khu làng
P=0483 | X=0186.070-0250.220 | Y=0618.430-0629.670 | dân tộc Chơro
P=0483 | X=0186.070-0244.580 | Y=0631.830-0641.150 | (bên phải hết
P=0483 | X=0116.690-0167.420 | Y=0641.470-0652.710 | Đường vào
P=0483 | X=0186.070-0246.270 | Y=0641.470-0652.710 | ranh thửa đất
P=0483 | X=0253.060-0290.580 | Y=0649.110-0658.430 | Ranh xã
P=0483 | X=0097.490-0158.530 | Y=0654.630-0663.950 | 36 UBND xã
P=0483 | X=0186.070-0225.560 | Y=0654.630-0663.950 | số 26, tờ
P=0483 | X=0357.260-0382.310 | Y=0654.630-0663.950 | 5.000
P=0483 | X=0433.610-0458.660 | Y=0654.630-0663.950 | 3.500
P=0483 | X=0497.230-0522.280 | Y=0654.630-0663.950 | 3.000
P=0483 | X=0253.060-0305.930 | Y=0660.390-0669.710 | Phước Thái
P=0483 | X=0116.690-0249.870 | Y=0664.270-0675.510 | Phước Bình cũ BĐĐC số 190;
P=0483 | X=0186.070-0236.180 | Y=0677.670-0686.990 | bên trái hết
P=0483 | X=0186.070-0246.270 | Y=0687.310-0698.550 | ranh thửa đất
P=0483 | X=0186.070-0251.190 | Y=0698.830-0710.070 | số 4, tờ BĐĐC
P=0484 | X=0186.070-0232.470 | Y=0074.620-0083.940 | số 190, xã
P=0484 | X=0186.070-0242.220 | Y=0084.260-0095.500 | Phước Thái)
P=0484 | X=0116.690-0300.360 | Y=0102.260-0113.500 | Các tuyến đường giao thông đấu nối trực
P=0484 | X=0116.690-0312.410 | Y=0113.780-0125.020 | tiếp ra Đường vào UBND xã Phước Bình cũ
P=0484 | X=0116.690-0299.700 | Y=0125.330-0136.570 | đoạn từ Hết khu làng dân tộc Chơro (bên
P=0484 | X=0116.690-0301.890 | Y=0136.850-0148.090 | phải hết ranh thửa đất số 26, tờ BĐĐC số
P=0484 | X=0116.690-0288.470 | Y=0148.370-0159.610 | 190; bên trái hết ranh thửa đất số 4, tờ
P=0484 | X=0116.690-0312.660 | Y=0159.650-0170.890 | BĐĐC số 190, xã Phước Thái) đến Ranh xã
P=0484 | X=0097.490-0316.290 | Y=0171.170-0182.610 | 37 Phước Thái có hiện trạng là đường nhựa, bê
P=0484 | X=0357.260-0382.310 | Y=0173.290-0182.610 | 2.500
P=0484 | X=0433.610-0458.660 | Y=0173.290-0182.610 | 1.800
P=0484 | X=0497.230-0522.280 | Y=0173.290-0182.610 | 1.500
P=0484 | X=0116.690-0176.850 | Y=0182.690-0193.930 | tông xi măng:
P=0484 | X=0116.690-0303.540 | Y=0200.230-0211.470 | - Có bề rộng ≥5m, cách đường giao thông
P=0484 | X=0116.690-0158.370 | Y=0211.750-0222.990 | ≤1.000m.
P=0484 | X=0116.690-0308.370 | Y=0229.270-0240.510 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0484 | X=0116.690-0199.630 | Y=0240.790-0252.030 | giao thông ≤500m.
P=0484 | X=0116.690-0300.360 | Y=0258.790-0270.030 | Các tuyến đường giao thông đấu nối trực
P=0484 | X=0116.690-0312.410 | Y=0270.310-0281.550 | tiếp ra Đường vào UBND xã Phước Bình cũ
P=0484 | X=0116.690-0299.700 | Y=0281.860-0293.100 | đoạn từ Hết khu làng dân tộc Chơro (bên
P=0484 | X=0116.690-0301.890 | Y=0293.380-0304.620 | phải hết ranh thửa đất số 26, tờ BĐĐC số
P=0484 | X=0116.690-0288.470 | Y=0304.900-0316.140 | 190; bên trái hết ranh thửa đất số 4, tờ
P=0484 | X=0116.690-0312.660 | Y=0316.420-0327.660 | BĐĐC số 190, xã Phước Thái) đến Ranh xã
P=0484 | X=0116.690-0316.290 | Y=0327.700-0338.940 | Phước Thái có hiện trạng là đường nhựa, bê
P=0484 | X=0097.490-0176.880 | Y=0339.220-0353.780 | 38 tông xi măng:
P=0484 | X=0357.260-0382.310 | Y=0344.460-0353.780 | 1.900
P=0484 | X=0433.610-0458.660 | Y=0344.460-0353.780 | 1.300
P=0484 | X=0497.230-0522.280 | Y=0344.460-0353.780 | 1.100
P=0484 | X=0116.690-0303.540 | Y=0356.740-0367.980 | - Có bề rộng ≥5m, cách đường giao thông
P=0484 | X=0116.690-0158.830 | Y=0370.160-0379.480 | >1.000m.
P=0484 | X=0116.690-0308.370 | Y=0385.800-0397.040 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0484 | X=0116.690-0273.340 | Y=0397.320-0408.560 | giao thông từ >500m đến ≤1.000m.
P=0484 | X=0116.690-0303.790 | Y=0414.840-0426.080 | - Có bề rộng <3m, cách đường giao thông
P=0484 | X=0116.690-0150.210 | Y=0426.360-0437.600 | ≤200m.
P=0484 | X=0116.690-0300.360 | Y=0444.360-0455.600 | Các tuyến đường giao thông đấu nối trực
P=0484 | X=0116.690-0312.410 | Y=0455.900-0467.140 | tiếp ra Đường vào UBND xã Phước Bình cũ
P=0484 | X=0116.690-0299.700 | Y=0467.420-0478.660 | đoạn từ Hết khu làng dân tộc Chơro (bên
P=0484 | X=0116.690-0301.890 | Y=0478.940-0490.180 | phải hết ranh thửa đất số 26, tờ BĐĐC số
P=0484 | X=0116.690-0288.470 | Y=0490.220-0501.460 | 190; bên trái hết ranh thửa đất số 4, tờ
P=0484 | X=0116.690-0312.660 | Y=0501.740-0512.980 | BĐĐC số 190, xã Phước Thái) đến Ranh xã
P=0484 | X=0097.490-0316.290 | Y=0513.260-0524.700 | 39 Phước Thái có hiện trạng là đường nhựa, bê
P=0484 | X=0357.260-0382.310 | Y=0515.380-0524.700 | 1.400
P=0484 | X=0442.010-0458.650 | Y=0515.380-0524.700 | 980
P=0484 | X=0505.630-0522.270 | Y=0515.380-0524.700 | 840
P=0484 | X=0116.690-0176.850 | Y=0524.780-0536.020 | tông xi măng:
P=0484 | X=0116.690-0308.370 | Y=0542.330-0553.570 | - Có bề rộng từ ≥3m đến <5m, cách đường
P=0484 | X=0116.690-0208.270 | Y=0555.730-0565.050 | giao thông >1.000m.
P=0484 | X=0116.690-0303.790 | Y=0571.370-0582.610 | - Có bề rộng <3m, cách đường giao thông
